Country,Average Temp (2019),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),co2 Emissions (metric tons per capita),Latitude,Longitude
Senegal,24.33917808219178,37.2,4.45,0.0,0.72,13.926498,2753.3909,10619.99989,14.497401,-14.452362
Serbia,15.032602739726027,21.53,26.35,0.0,10.51,28.513292,26602.787,45950.00076,44.016521,21.005859
Seychelles,27.357808219178082,1.47,0.49,0.0,0.04,7.54717,45777.125,610.0000143,-4.679574,55.491977
Sierra Leone,27.369041095890413,75.44,0.02,0.0,0.19,90.4762,513.0044,899.9999762,8.460555,-11.779889
Singapore,28.921917808219177,0.84,50.96,0.0,0.78,1.5075376,158657.89,47380.00107,1.352083,103.819836
Slovenia,13.895342465753425,20.86,5.03,5.82,5.04,68.34487,37905.92,13600.00038,46.151241,14.995463
Solomon Islands,27.24904109589041,48.39,0.1,0.0,0.0,0.0,2027.3756,360.0000143,-9.64571,160.156194
Somalia,26.316666666666666,95.03,0.33,0.0,0.02,5.714286,227.57283,689.9999976,5.152149,46.199616
Spain,13.336712328767122,17.27,111.55,58.35,100.99,58.82092,33764.863,239979.9957,40.463667,-3.74922
Sri Lanka,27.702465753424658,49.91,10.18,0.0,5.71,35.934547,4973.5986,23780.00069,7.873054,80.771797
Sudan,32.223561643835616,62.23,5.98,0.0,10.33,63.33538,2459.3628,20620.00084,12.862807,30.217636
Sweden,7.801098901098901,52.88,3.35,66.13,98.94,98.010925,63283.47,35000.0,60.128161,18.643501
Thailand,29.07890410958904,23.96,162.59,0.0,28.02,14.700173,20792.385,267089.9963,15.870032,100.992541
Togo,27.655068493150686,76.21,0.45,0.0,0.25,35.714287,1304.0579,2369.999886,8.619543,0.824782
Tonga,23.9340490797546,1.77,0.06,0.0,0.01,14.285714,6863.2144,159.9999964,-21.178986,-175.198242
Trinidad and Tobago,26.76164383561644,0.43,8.63,0.0,0.01,0.11574074,123712.94,17190.00053,10.691803,-61.222503
Tunisia,19.21917808219178,12.2,19.73,0.0,0.82,3.9902678,10128.142,29909.99985,33.886917,9.537499
Turkmenistan,19.2227397260274,0.06,21.18,0.0,0.0,0.0,57961.055,72870.00275,38.969719,59.556278
Ukraine,10.903835616438357,7.44,57.79,83.0,11.87,62.144634,21661.146,174729.9957,48.379433,31.16558
United Arab Emirates,28.643561643835614,0.67,125.85,0.0,3.8,2.930968,134878.39,188860.0006,23.424076,53.847818
United Kingdom,10.45890410958904,12.24,144.99,56.18,120.48,54.923054,32893.76,348920.0134,55.378051,-3.435973
United States,15.254794520547945,10.42,2588.21,809.41,760.76,37.75918,79489.016,4817720.215,37.09024,-95.712891
Uruguay,16.811232876712328,60.76,1.89,0.0,14.16,88.224304,19985.01,6489.999771,-32.522779,-55.765835
Vanuatu,24.08849315068493,31.86,0.05,0.0,0.02,28.571428,3154.4717,209.9999934,-15.376706,166.959158
