Country,Average Temp,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),co2 Emissions (metric tons per capita),Latitude,Longitude,2020 Population
Senegal,24.34285714285714,37.2,4.45,0.0,0.72,13.926498,2753.3909,10619.999890000001,14.497401000000002,-14.452361999999999,16436119
Serbia,15.068406593406598,21.53,26.35,0.0,10.51,28.513292,26602.787,45950.00076,44.016521000000004,21.005859,7358005
Seychelles,27.36016483516483,1.47,0.49,0.0,0.04,7.5471699999999995,45777.125,610.0000143,-4.679574,55.491977,105530
Sierra Leone,27.370054945054946,75.44,0.02,0.0,0.19,90.4762,513.0044,899.9999762,8.460555000000001,-11.779889,8233969
Singapore,28.92115384615385,0.84,50.96,0.0,0.78,1.5075376,158657.89,47380.00107,1.352083,103.819836,5909869
Slovenia,13.921153846153846,20.86,5.03,5.82,5.04,68.34487,37905.92,13600.000380000001,46.151241,14.995463,2117641
Solomon Islands,27.25412087912088,48.39,0.1,0.0,0.0,0.0,2027.3756,360.00001430000003,-9.645710000000001,160.156194,691191
Somalia,26.316666666666663,95.03,0.33,0.0,0.02,5.714286,227.57282999999998,689.9999976,5.152149,46.199616,16537016
Spain,13.351923076923075,17.27,111.55,58.35,100.99,58.820919999999994,33764.863,239979.9957,40.463667,-3.7492199999999998,47363807
Sri Lanka,27.70412087912086,49.91,10.18,0.0,5.71,35.934546999999995,4973.5986,23780.00069,7.873054,80.77179699999999,21715079
Sudan,32.23928571428573,62.23,5.98,0.0,10.33,63.33538000000001,2459.3628,20620.00084,12.862807,30.217636,44440486
Sweden,7.8129476584022095,52.88,3.35,66.13,98.94,98.010925,63283.47,35000.0,60.128161,18.643501,10368969
Thailand,29.088736263736237,23.96,162.59,0.0,28.02,14.700173000000001,20792.385,267089.9963,15.870032,100.992541,71475664
Togo,27.650549450549423,76.21,0.45,0.0,0.25,35.714287,1304.0579,2369.999886,8.619543,0.824782,8442580
Tonga,23.932307692307685,1.77,0.06,0.0,0.01,14.285714000000002,6863.2144,159.99999640000001,-21.178986,-175.198242,105254
Trinidad and Tobago,26.7673076923077,0.43,8.63,0.0,0.01,0.11574074,123712.94,17190.00053,10.691803,-61.222503,1518147
Tunisia,19.235714285714263,12.2,19.73,0.0,0.82,3.9902678,10128.142,29909.99985,33.886917,9.537499,12161723
Turkmenistan,19.262912087912078,0.06,21.18,0.0,0.0,0.0,57961.055,72870.00275,38.969719,59.556278000000006,6250438
Ukraine,10.932417582417589,7.44,57.79,83.0,11.87,62.144633999999996,21661.146,174729.9957,48.379433,31.16558,43909666
United Arab Emirates,28.663736263736286,0.67,125.85,0.0,3.8,2.930968,134878.39,188860.0006,23.424076,53.847818000000004,9287289
United Kingdom,10.468681318681313,12.24,144.99,56.18,120.48,54.923054,32893.76,348920.0134,55.378051,-3.435973,67059474
United States,15.26043956043955,10.42,2588.21,809.41,760.76,37.75918,79489.016,4817720.215,37.09024,-95.712891,335942003
Uruguay,16.787637362637355,60.76,1.89,0.0,14.16,88.224304,19985.01,6489.999771,-32.522779,-55.765834999999996,3429086
Vanuatu,24.085439560439582,31.86,0.05,0.0,0.02,28.571428000000004,3154.4717,209.9999934,-15.376706,166.959158,311685
